ml;pH;sec;dpH/dml
0.000;1.579;2.093000;3.683686
0.024;1.577;4.562000;3.833255
0.048;1.576;7.034000;2.267475
0.072;1.576;9.505000;0.236747
0.096;1.576;11.976000;3.361470
0.120;1.573;14.447000;4.188804
0.144;1.572;16.918000;0.520502
0.168;1.573;19.388000;0.282900
0.192;1.572;21.859000;2.681142
0.216;1.571;24.330000;0.037606
0.240;1.572;26.801000;5.461427
0.264;1.575;29.272000;1.141002
0.288;1.573;31.743000;4.689648
0.312;1.572;34.214000;1.817912
0.336;1.572;36.688000;2.137563
0.360;1.570;39.159000;2.851224
0.384;1.569;41.629000;1.165788
0.408;1.571;44.100000;1.470056
0.432;1.571;46.571000;2.382857
0.456;1.569;49.041000;0.999125
0.480;1.570;51.512000;1.533302
0.504;1.570;53.982000;1.493132
0.528;1.568;56.452000;2.342687
0.552;1.572;58.922000;2.505077
0.576;1.571;61.392000;4.105045
0.600;1.569;63.862000;0.652123
0.624;1.570;66.333000;4.448627
0.648;1.572;68.803000;0.929896
0.672;1.571;71.273000;3.416170
0.696;1.569;73.744000;0.603407
0.720;1.571;76.215000;3.735821
0.744;1.573;78.687000;0.975194
0.768;1.570;81.157000;0.361531
0.792;1.572;83.628000;1.414501
0.816;1.572;86.107000;1.946969
0.840;1.574;88.578000;2.159785
0.864;1.573;91.049000;1.156387
0.888;1.573;93.520000;0.276917
0.912;1.574;95.991000;3.793940
0.936;1.576;98.462000;4.020431
0.960;1.577;100.934000;0.961519
0.984;1.575;103.404000;2.226450
1.008;1.575;105.875000;1.354673
1.032;1.576;108.348000;2.699945
1.056;1.577;110.819000;0.809385
1.080;1.577;113.290000;0.063247
1.104;1.577;115.760000;1.797399
1.128;1.579;118.234000;4.558882
1.152;1.581;120.704000;1.874321
1.176;1.580;123.176000;2.511060
1.200;1.579;125.648000;0.143587
1.224;1.580;128.120000;4.560591
1.248;1.583;130.590000;2.339269
1.272;1.582;133.062000;1.387151
1.296;1.582;135.532000;1.005108
1.320;1.583;138.006000;2.677723
1.344;1.584;140.478000;0.550416
1.368;1.583;142.948000;0.173501
1.392;1.584;145.420000;3.138398
1.416;1.586;147.894000;2.941820
1.440;1.586;150.366000;0.909383
1.464;1.587;152.836000;2.178588
1.488;1.588;155.307000;2.093974
1.512;1.588;157.777000;0.221363
1.536;1.588;160.250000;1.239291
1.560;1.589;162.721000;3.786248
1.584;1.591;165.192000;2.026454
1.608;1.591;167.663000;0.093160
1.632;1.592;170.135000;1.508516
1.656;1.592;172.606000;3.107629
1.680;1.594;175.078000;5.740909
1.704;1.597;177.549000;0.458110
1.728;1.594;180.020000;2.781140
1.752;1.595;182.491000;2.686270
1.776;1.597;184.962000;2.933274
1.800;1.597;187.432000;1.805946
1.824;1.598;189.903000;2.235852
1.848;1.599;192.373000;3.165748
1.872;1.601;194.844000;1.141002
1.896;1.600;197.315000;1.309375
1.920;1.602;199.787000;2.311064
1.944;1.602;202.258000;0.669217
1.968;1.602;204.729000;0.742720
1.992;1.601;207.202000;0.801693
2.016;1.603;209.672000;3.453776
2.040;1.604;212.144000;2.968316
2.064;1.606;214.616000;1.844407
2.088;1.606;217.087000;1.252111
2.112;1.607;219.557000;3.487108
2.136;1.609;222.028000;2.376875
2.160;1.609;224.499000;0.504263
2.184;1.609;226.969000;2.487984
2.208;1.611;229.439000;1.405100
2.232;1.610;231.911000;1.493132
2.256;1.609;234.382000;0.205124
2.280;1.610;236.853000;4.822979
2.304;1.613;239.324000;3.248652
2.328;1.613;241.794000;1.617061
2.352;1.615;244.265000;2.691398
2.376;1.615;246.736000;1.780306
2.400;1.616;249.207000;0.774343
2.424;1.616;251.679000;0.508537
2.448;1.616;254.149000;2.029873
2.472;1.618;256.621000;5.159724
2.496;1.620;259.092000;1.017073
2.520;1.618;261.564000;2.479437
2.544;1.618;264.035000;0.942716
2.568;1.619;266.509000;4.905883
2.592;1.622;268.979000;2.808490
2.616;1.621;271.450000;1.067500
2.640;1.621;273.922000;2.227305
2.664;1.623;276.392000;7.770782
2.688;1.628;278.862000;4.246067
2.712;1.627;281.333000;0.355548
2.736;1.627;283.804000;1.056389
2.760;1.628;286.278000;0.333327
2.784;1.628;288.751000;1.983720
2.808;1.629;291.224000;1.375186
2.832;1.629;293.694000;0.058973
2.856;1.629;296.164000;6.687043
2.880;1.634;298.634000;3.505912
2.904;1.632;301.104000;2.753790
2.928;1.632;303.577000;1.395698
2.952;1.633;306.049000;3.288822
2.976;1.635;308.520000;1.995686
3.000;1.635;310.992000;0.119656
3.024;1.635;313.464000;3.807615
3.048;1.638;315.935000;4.187094
3.072;1.638;318.405000;1.052970
3.096;1.637;320.877000;0.920494
3.120;1.639;323.348000;3.775992
3.144;1.640;325.819000;2.213630
3.168;1.641;328.289000;0.094015
3.192;1.640;330.759000;4.060601
3.216;1.644;333.230000;5.128101
3.240;1.645;335.700000;0.381189
3.264;1.644;338.170000;2.816182
3.288;1.647;340.641000;5.156305
3.312;1.648;343.111000;2.376875
3.336;1.649;345.589000;1.154677
3.360;1.649;348.060000;0.095725
3.384;1.649;350.530000;2.223886
3.408;1.651;353.000000;3.217883
3.432;1.652;355.473000;0.309395
3.456;1.651;357.944000;0.341019
3.480;1.652;360.414000;4.491362
3.504;1.655;362.885000;3.452066
3.528;1.655;365.358000;0.697422
3.552;1.654;367.830000;2.910197
3.576;1.657;370.303000;4.698195
3.600;1.658;372.774000;1.409373
3.624;1.658;375.250000;0.055554
3.648;1.658;377.721000;2.189699
3.672;1.660;380.192000;6.315256
3.696;1.664;382.664000;6.355426
3.720;1.665;385.134000;0.670927
3.744;1.663;387.609000;1.736717
3.768;1.664;390.079000;3.853768
3.792;1.666;392.550000;3.434118
3.816;1.667;395.021000;0.029914
3.840;1.666;397.491000;2.171751
3.864;1.669;399.961000;6.776785
3.888;1.672;402.431000;3.900775
3.912;1.672;404.904000;0.155552
3.936;1.672;407.374000;0.208543
3.960;1.672;409.844000;0.129057
3.984;1.672;412.315000;1.535011
4.008;1.673;414.785000;3.462323
4.032;1.675;417.255000;1.535866
4.056;1.675;419.725000;2.451232
4.080;1.677;422.196000;4.301622
4.104;1.678;424.668000;0.470076
4.128;1.677;427.141000;0.550416
4.152;1.679;429.612000;5.257158
4.176;1.682;432.082000;2.485419
4.200;1.681;434.553000;0.940152
4.224;1.681;437.023000;3.346086
4.248;1.683;439.494000;4.093934
4.272;1.684;441.968000;0.444435
4.296;1.684;444.440000;1.108524
4.320;1.685;446.912000;4.615291
4.344;1.688;449.384000;4.517857
4.368;1.689;451.857000;3.601636
4.392;1.691;454.332000;1.787143
4.416;1.690;456.804000;3.640952
4.440;1.694;459.275000;2.532427
4.464;1.693;461.745000;1.812784
4.488;1.692;464.215000;1.074337
4.512;1.693;466.690000;3.623003
4.536;1.695;469.161000;4.317006
4.560;1.697;471.634000;2.770029
4.584;1.697;474.104000;0.641013
4.608;1.698;476.574000;3.477707
4.632;1.700;479.045000;1.396553
4.656;1.699;481.516000;0.142732
4.680;1.700;483.986000;3.940091
4.704;1.702;486.457000;1.883722
4.728;1.702;488.927000;2.770884
4.752;1.704;491.397000;5.490487
4.776;1.706;493.867000;1.398262
4.800;1.705;496.338000;0.050426
4.824;1.707;498.808000;3.535825
4.848;1.708;501.278000;4.256324
4.872;1.710;503.752000;1.830732
4.896;1.710;506.226000;1.885432
4.920;1.712;508.697000;4.552899
4.944;1.714;511.168000;2.524735
4.968;1.714;513.638000;0.588022
4.992;1.713;516.108000;2.478582
5.016;1.716;518.579000;4.716143
5.040;1.717;521.051000;2.088846
5.064;1.717;523.522000;2.875155
5.088;1.719;525.992000;5.808429
5.112;1.722;528.463000;1.405100
5.136;1.721;530.933000;0.722208
5.160;1.722;533.404000;4.416149
5.184;1.724;535.877000;2.001669
5.208;1.723;538.347000;1.418775
5.232;1.725;540.817000;3.296514
5.256;1.726;543.288000;0.734173
5.280;1.726;545.760000;3.925561
5.304;1.729;548.231000;4.225555
5.328;1.730;550.701000;2.578580
5.352;1.731;553.173000;3.099082
5.376;1.732;555.646000;2.558922
5.400;1.734;558.116000;0.943571
5.424;1.733;560.589000;2.398242
5.448;1.736;563.060000;2.537555
5.472;1.735;565.531000;3.210191
5.496;1.738;568.001000;5.399035
5.520;1.740;570.475000;0.988014
5.544;1.739;572.948000;2.270894
5.568;1.741;575.418000;3.058912
5.592;1.742;577.888000;3.147799
5.616;1.744;580.359000;3.926416
5.640;1.745;582.830000;1.464073
5.664;1.745;585.303000;3.600781
5.688;1.748;587.775000;2.708492
5.712;1.747;590.246000;3.047801
5.736;1.750;592.716000;3.058057
5.760;1.750;595.187000;2.356362
5.784;1.752;597.658000;5.233227
5.808;1.754;600.129000;1.487149
5.832;1.754;602.599000;0.945280
5.856;1.755;605.069000;1.882868
5.880;1.755;607.541000;1.672616
5.904;1.756;610.012000;4.899900
5.928;1.759;612.483000;6.070817
5.952;1.762;614.953000;4.797338
5.976;1.763;617.423000;2.142691
6.000;1.763;619.895000;0.667508
6.024;1.763;622.366000;2.363200
6.048;1.765;624.836000;4.280255
6.072;1.766;627.307000;3.657191
6.096;1.768;629.777000;4.910156
6.120;1.770;632.250000;2.711911
6.144;1.771;634.721000;2.960623
6.168;1.773;637.192000;7.034900
6.192;1.776;639.662000;1.202540
6.216;1.774;642.135000;0.494862
6.240;1.776;644.605000;5.966545
6.264;1.779;647.078000;3.737531
6.288;1.779;649.549000;0.377770
6.312;1.779;652.023000;2.970880
6.336;1.782;654.493000;3.596508
6.360;1.782;656.966000;3.031562
6.384;1.784;659.438000;3.881972
6.408;1.785;661.909000;0.443581
6.432;1.784;664.381000;2.254655
6.456;1.787;666.852000;3.269164
6.480;1.787;669.322000;1.472620
6.504;1.788;671.794000;6.281923
6.528;1.792;674.264000;3.148654
6.552;1.791;676.735000;1.524755
6.576;1.794;679.206000;5.070837
6.600;1.795;681.680000;3.204208
6.624;1.796;684.151000;4.156326
6.648;1.799;686.623000;2.329012
6.672;1.798;689.094000;7.731467
6.696;1.805;691.564000;5.771677
6.720;1.803;694.038000;4.211025
6.744;1.801;696.509000;6.308419
6.768;1.808;698.980000;4.214444
6.792;1.805;701.452000;2.705928
6.816;1.806;703.922000;5.404163
6.840;1.809;706.392000;1.308520
6.864;1.807;708.863000;2.864044
6.888;1.812;711.335000;4.611017
6.912;1.811;713.807000;1.714495
6.936;1.813;716.278000;6.330640
6.960;1.816;718.748000;3.296514
6.984;1.816;721.219000;5.244338
7.008;1.820;723.690000;3.484544
7.032;1.819;726.162000;1.519627
7.056;1.819;728.632000;3.106774
7.080;1.821;731.102000;3.646080
7.104;1.822;733.574000;4.619564
7.128;1.825;736.046000;3.118740
7.152;1.825;738.517000;2.284569
7.176;1.827;740.987000;7.659673
7.200;1.831;743.457000;1.700820
7.224;1.829;745.928000;0.496571
7.248;1.832;748.399000;9.663051
7.272;1.837;750.869000;5.587066
7.296;1.836;753.343000;0.705114
7.320;1.836;755.816000;0.040170
7.344;1.836;758.286000;3.977697
7.368;1.839;760.759000;6.275941
7.392;1.841;763.235000;4.145215
7.416;1.843;765.706000;0.409393
7.440;1.841;768.176000;2.117906
7.464;1.844;770.648000;5.027248
7.488;1.845;773.118000;2.440121
7.512;1.846;775.590000;3.884536
7.536;1.848;778.061000;5.414420
7.560;1.851;780.535000;5.389634
7.584;1.853;783.007000;2.998230
7.608;1.853;785.480000;1.022201
7.632;1.854;787.950000;3.488818
7.656;1.856;790.420000;2.167477
7.680;1.856;792.890000;4.193932
7.704;1.860;795.360000;7.087035
7.728;1.861;797.831000;1.949533
7.752;1.861;800.301000;3.149509
7.776;1.864;802.771000;3.465741
7.800;1.864;805.242000;4.346920
7.824;1.868;807.714000;3.548646
7.848;1.867;810.186000;0.933314
7.872;1.868;812.658000;6.335768
7.896;1.873;815.129000;2.545247
7.920;1.871;817.600000;2.834130
7.944;1.875;820.070000;7.157974
7.968;1.876;822.542000;2.805071
7.992;1.877;825.018000;0.440162
8.016;1.877;827.490000;3.003358
8.040;1.880;829.960000;9.818604
8.064;1.885;832.430000;6.206711
8.088;1.885;834.902000;1.418775
8.112;1.886;837.374000;3.073442
8.136;1.887;839.844000;1.812784
8.160;1.888;842.315000;0.291447
8.184;1.888;844.786000;4.640931
8.208;1.891;847.257000;3.637533
8.232;1.891;849.727000;3.745223
8.256;1.895;852.197000;4.648623
8.280;1.894;854.670000;2.535846
8.304;1.897;857.140000;3.958039
8.328;1.898;859.615000;3.799068
8.352;1.900;862.087000;4.567428
8.376;1.902;864.559000;5.592194
8.400;1.904;867.029000;5.470829
8.424;1.906;869.500000;1.103396
8.448;1.905;871.972000;3.111902
8.472;1.909;874.442000;4.624692
8.496;1.909;876.913000;4.064875
8.520;1.912;879.383000;6.424656
8.544;1.915;881.855000;3.473434
8.568;1.915;884.326000;2.502513
8.592;1.917;886.796000;6.746871
8.616;1.921;889.267000;2.467471
8.640;1.919;891.739000;1.322195
8.664;1.922;894.210000;7.657964
8.688;1.925;896.683000;5.929794
8.712;1.927;899.153000;6.309273
8.736;1.930;901.623000;3.365743
8.760;1.929;904.094000;0.070939
8.784;1.930;906.564000;5.446898
8.808;1.934;909.034000;2.536700
8.832;1.932;911.504000;2.142691
8.856;1.936;913.975000;6.993020
8.880;1.938;916.446000;5.047760
8.904;1.940;918.917000;6.021245
8.928;1.943;921.389000;3.240105
8.952;1.942;923.864000;2.616186
8.976;1.945;926.338000;7.708390
9.000;1.949;928.809000;2.740115
9.024;1.948;931.280000;0.862376
9.048;1.948;933.751000;5.053743
9.072;1.952;936.222000;5.296473
9.096;1.953;938.693000;1.979447
9.120;1.953;941.169000;4.661444
9.144;1.956;943.640000;11.153619
9.168;1.963;946.115000;11.479253
9.192;1.966;948.587000;2.823874
9.216;1.960;951.057000;2.993956
9.240;1.963;953.528000;4.662298
9.264;1.964;956.000000;3.407623
